RunType,DatasetFile,Processes,Records,Mean,Variance,StandardDeviation,Minimum,Maximum,PearsonCorrelation,MovingAverageWindow,OutlierThreshold,OutlierCount,Task1_BasicStatistics_ms,Task2_Histogram_ms,Task3_Sorting_ms,Task4_Correlation_ms,Task5_MovingAverage_ms,Task6_OutlierDetection_ms,TotalExecutionTime_ms
Sequential,"C:\MPIProject\dataset\ecommerce_small_1million.csv",1,1000000,5002.978573,8328769.543831,2885.960766,0.010000,9999.990000,0.995029,5,3.000000,0,2.738700,1.928700,127.115600,2.276100,3.850300,1.438000,1213.983700
Sequential,"C:\MPIProject\dataset\ecommerce_medium_10million.csv",1,10000000,5000.705750,8333089.753671,2886.709156,0.000000,10000.000000,0.995035,5,3.000000,0,47.106700,36.796700,1308.625300,36.045200,46.525900,24.171500,11358.635600
Sequential,"C:\MPIProject\dataset\ecommerce_small_1million.csv",1,1000000,5002.978573,8328769.543831,2885.960766,0.010000,9999.990000,0.995029,5,3.000000,0,1.189200,1.245700,66.889700,1.243200,2.018200,0.934400,462.834700
Sequential,"C:\MPIProject\dataset\ecommerce_large_100million.csv",1,100000000,5000.654182,8333001.432709,2886.693859,0.000000,10000.000000,0.995037,5,3.000000,0,126.018900,128.082300,6707.300400,124.908000,255.824300,97.928900,46058.018100
Sequential,"C:\MPIProject\dataset\ecommerce_medium_10million.csv",1,10000000,5000.705750,8333089.753671,2886.709156,0.000000,10000.000000,0.995035,5,3.000000,0,13.989400,12.834700,704.133900,12.260100,17.171100,9.396400,4537.718200
