RunType,DatasetFile,Processes,Records,Mean,Variance,StandardDeviation,Minimum,Maximum,PearsonCorrelation,MovingAverageWindow,OutlierThreshold,OutlierCount,Task1_BasicStatistics_ms,Task2_Histogram_ms,Task3_Sorting_ms,Task4_Correlation_ms,Task5_MovingAverage_ms,Task6_OutlierDetection_ms,TotalExecutionTime_ms
MPI,"C:\MPIProject\dataset\ecommerce_small_1million.csv",4,1000000,5002.978573,8328769.543831,2885.960766,0.010000,9999.990000,0.995029,5,3.000000,0,1.859300,1.337400,64.536600,1.333800,5.554200,0.370400,785.206300
MPI,"C:\MPIProject\dataset\ecommerce_small_1million.csv",4,1000000,5002.978573,8328769.543831,2885.960766,0.010000,9999.990000,0.995029,5,3.000000,0,1.041800,0.361400,55.141300,1.386300,4.791700,0.274000,779.163500
MPI,"C:\MPIProject\dataset\ecommerce_small_1million.csv",4,1000000,5002.978573,8328769.543831,2885.960766,0.010000,9999.990000,0.995029,5,3.000000,0,1.437300,0.832500,67.152900,0.949800,4.675100,0.351900,845.271600
MPI,"C:\MPIProject\dataset\ecommerce_medium_10million.csv",4,10000000,5000.705750,8333089.753671,2886.709156,0.000000,10000.000000,0.995035,5,3.000000,0,7.777500,7.865800,697.678700,8.399200,59.055900,3.929400,8423.111000
MPI,"C:\MPIProject\dataset\ecommerce_small_1million.csv",4,1000000,5002.978573,8328769.543831,2885.960766,0.010000,9999.990000,0.995029,5,3.000000,0,32.683700,12.822900,2130.853500,39.406500,91.923900,1.659600,1056831.870000
